col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,target
a,0,13,1,2174,1,1,1,a,a,1,77516,39,40,0
b,0,13,1,0,1,2,2,a,b,1,83311,50,13,0
c,0,9,2,0,1,3,3,a,a,1,215646,38,40,0
b,0,7,3,0,1,3,3,a,b,2,234721,53,40,0
b,0,13,1,0,2,3,4,b,c,2,338409,28,40,0
b,0,14,4,0,1,3,2,b,c,1,284582,37,40,0
d,0,5,5,0,3,3,5,b,a,2,160187,49,16,0
b,0,9,2,0,1,2,2,a,b,1,209642,52,45,1
a,0,14,4,14084,1,3,4,b,a,1,45781,31,50,1
b,0,13,1,5178,1,3,2,a,b,1,159449,42,40,1
b,0,10,6,0,1,3,2,a,b,2,280464,37,80,1
b,0,13,1,0,4,1,4,a,b,3,141297,30,40,1
a,0,13,1,0,1,3,1,b,d,1,122272,23,30,0
a,0,12,7,0,1,3,6,a,a,2,205019,32,50,0
b,0,11,8,0,,3,7,a,b,3,121772,40,40,1
b,0,4,9,0,6,3,8,a,b,4,245487,34,45,0
a,0,9,2,0,1,2,9,a,d,1,176756,25,35,0
a,0,9,2,0,1,3,10,a,e,1,186824,32,40,0
b,0,7,3,0,1,3,6,a,b,1,28887,38,50,0
c,0,14,4,0,1,2,2,b,e,1,292175,43,45,1
b,0,16,10,0,1,3,4,a,b,1,193524,40,60,1
e,0,9,2,0,1,3,5,b,e,2,302146,54,20,0
b,0,5,5,0,1,4,9,a,b,2,76845,35,40,0
b,2042,7,3,0,1,3,8,a,b,1,117037,43,40,0
c,0,9,2,0,1,3,11,b,e,1,109015,59,40,0
b,0,13,1,0,1,5,11,a,b,1,216851,56,40,1
a,0,9,2,0,1,3,7,a,d,1,168294,19,40,0
b,0,10,6,0,7,,,a,b,3,180211,54,60,1
c,0,9,2,0,1,3,2,a,a,1,367260,39,80,0
b,0,9,2,0,1,3,7,a,b,1,193366,49,40,0
a,0,12,7,0,1,5,13,a,a,1,190709,23,52,0
a,0,10,6,0,1,3,6,a,d,2,266015,20,44,0
c,1408,13,1,0,1,3,2,a,d,1,386940,45,40,0
b,0,10,6,0,1,4,1,a,d,1,59951,30,40,0
b,0,10,6,0,1,1,5,a,b,2,311512,22,15,0
a,0,7,3,0,8,3,10,a,e,1,242406,48,40,0
a,0,10,6,0,1,3,10,a,d,1,197200,21,40,0
f,0,9,2,0,1,3,1,b,c,1,544091,19,25,0
